Domain,Difficulty,Question,A,B,C,D,Answer
Arithmetic,Beginner,What is 4 + 1?,6,3,5,4,5
Arithmetic,Beginner,What is 5 + 4?,1,10,20,9,9
Arithmetic,Beginner,What is 2 + 1?,4,2,1,3,3
Arithmetic,Beginner,What is 17 + 20?,38,-3,340,37,37
Arithmetic,Beginner,What is 18 + 14?,32,252,4,33,32
Arithmetic,Beginner,What is 1 + 6?,7,6,8,-5,7
Arithmetic,Beginner,What is 5 + 7?,13,-2,12,35,12
Arithmetic,Beginner,What is 13 + 4?,17,9,18,52,17
Arithmetic,Beginner,What is 2 + 15?,30,-13,18,17,17
Arithmetic,Beginner,What is 18 + 10?,29,28,8,180,28
Arithmetic,Beginner,What is 3 + 2?,6,5,1,6,5
Arithmetic,Beginner,What is 8 + 4?,12,32,13,4,12
Arithmetic,Beginner,What is 12 + 6?,6,18,19,72,18
Arithmetic,Beginner,What is 9 + 3?,6,12,27,13,12
Arithmetic,Beginner,What is 6 + 15?,90,21,22,-9,21
Arithmetic,Beginner,What is 11 + 2?,22,9,13,14,13
Arithmetic,Beginner,What is 13 + 9?,117,23,4,22,22
Arithmetic,Beginner,What is 7 + 16?,23,24,112,-9,23
Arithmetic,Beginner,What is 5 + 9?,45,-4,14,15,14
Arithmetic,Beginner,What is 19 + 14?,266,33,34,5,33
Arithmetic,Beginner,What is 5 + 17?,23,85,22,-12,22
Arithmetic,Beginner,What is 4 + 5?,9,-1,20,10,9
Arithmetic,Beginner,What is 20 + 3?,23,60,24,17,23
Arithmetic,Beginner,What is 17 + 9?,27,8,153,26,26
Arithmetic,Beginner,What is 18 + 9?,9,28,27,162,27
Arithmetic,Beginner,What is 14 + 6?,84,21,20,8,20
Arithmetic,Beginner,What is 17 + 6?,11,24,102,23,23
Arithmetic,Beginner,What is 17 + 20?,340,-3,37,38,37
Arithmetic,Beginner,What is 6 + 18?,-12,25,108,24,24
Arithmetic,Beginner,What is 16 + 1?,15,16,18,17,17
Arithmetic,Beginner,What is 8 + 2?,6,10,16,11,10
Arithmetic,Beginner,What is 3 + 16?,20,-13,48,19,19
Arithmetic,Beginner,What is 5 + 16?,21,80,-11,22,21
Arithmetic,Beginner,What is 7 + 18?,25,-11,126,26,25
Arithmetic,Beginner,What is 13 + 12?,25,26,156,1,25
Arithmetic,Beginner,What is 4 + 8?,32,-4,12,13,12
Arithmetic,Beginner,What is 1 + 19?,-18,20,19,21,20
Arithmetic,Beginner,What is 1 + 3?,5,3,-2,4,4
Arithmetic,Beginner,What is 2 + 11?,14,-9,22,13,13
Arithmetic,Beginner,What is 9 + 16?,-7,25,144,26,25
Arithmetic,Beginner,What is 19 + 19?,361,39,38,0,38
Arithmetic,Beginner,What is 14 + 7?,98,22,7,21,21
Arithmetic,Beginner,What is 12 + 14?,168,26,27,-2,26
Arithmetic,Beginner,What is 4 + 2?,6,7,8,2,6
Arithmetic,Beginner,What is 4 + 8?,32,-4,12,13,12
Arithmetic,Beginner,What is 5 + 14?,19,70,-9,20,19
Arithmetic,Beginner,What is 8 + 3?,12,11,24,5,11
Arithmetic,Beginner,What is 2 + 18?,21,36,-16,20,20
Arithmetic,Beginner,What is 6 + 14?,84,20,21,-8,20
Arithmetic,Beginner,What is 13 + 2?,26,15,11,16,15
Arithmetic,Beginner,What is 13 + 9?,22,117,23,4,22
Arithmetic,Beginner,What is 18 + 16?,288,2,34,35,34
Arithmetic,Beginner,What is 7 + 2?,5,10,14,9,9
Arithmetic,Beginner,What is 2 + 2?,5,4,4,0,4
Arithmetic,Beginner,What is 2 + 17?,20,34,-15,19,19
Arithmetic,Beginner,What is 20 + 3?,60,23,17,24,23
Arithmetic,Beginner,What is 19 + 8?,28,11,152,27,27
Arithmetic,Beginner,What is 14 + 19?,-5,33,34,266,33
Arithmetic,Beginner,What is 11 + 8?,3,19,20,88,19
Arithmetic,Beginner,What is 10 + 15?,26,-5,25,150,25
Arithmetic,Beginner,What is 15 + 20?,36,300,-5,35,35
Arithmetic,Beginner,What is 17 + 9?,153,26,8,27,26
Arithmetic,Beginner,What is 8 + 12?,-4,21,20,96,20
Arithmetic,Beginner,What is 18 + 10?,8,29,180,28,28
Arithmetic,Beginner,What is 4 + 5?,10,-1,9,20,9
Arithmetic,Beginner,What is 18 + 5?,13,23,24,90,23
Arithmetic,Beginner,What is 11 + 7?,18,19,4,77,18
Arithmetic,Beginner,What is 9 + 2?,7,12,18,11,11
Arithmetic,Beginner,What is 9 + 2?,18,7,12,11,11
Arithmetic,Beginner,What is 9 + 6?,15,16,54,3,15
Arithmetic,Beginner,What is 18 + 1?,20,18,17,19,19
Arithmetic,Beginner,What is 18 + 2?,21,20,16,36,20
Arithmetic,Beginner,What is 14 + 5?,9,70,20,19,19
Arithmetic,Beginner,What is 2 + 12?,-10,14,24,15,14
Arithmetic,Beginner,What is 4 + 12?,17,16,48,-8,16
Arithmetic,Beginner,What is 8 + 6?,48,14,2,15,14
Arithmetic,Beginner,What is 6 + 11?,18,17,66,-5,17
Arithmetic,Beginner,What is 9 + 6?,54,3,16,15,15
Arithmetic,Beginner,What is 16 + 8?,24,128,8,25,24
Arithmetic,Beginner,What is 10 + 8?,2,80,18,19,18
Arithmetic,Beginner,What is 13 + 11?,2,25,24,143,24
Arithmetic,Beginner,What is 12 + 17?,29,30,204,-5,29
Arithmetic,Beginner,What is 1 + 4?,-3,6,5,4,5
Arithmetic,Beginner,What is 2 + 4?,6,8,7,-2,6
Arithmetic,Beginner,What is 14 + 20?,280,-6,35,34,34
Arithmetic,Beginner,What is 9 + 2?,12,18,11,7,11
Arithmetic,Beginner,What is 12 + 14?,-2,27,168,26,26
Arithmetic,Beginner,What is 20 + 11?,9,32,220,31,31
Arithmetic,Beginner,What is 17 + 10?,27,170,28,7,27
Arithmetic,Beginner,What is 10 + 18?,180,-8,28,29,28
Arithmetic,Beginner,What is 13 + 6?,7,19,20,78,19
Arithmetic,Beginner,What is 10 + 10?,20,100,0,21,20
Arithmetic,Beginner,What is 15 + 15?,31,30,225,0,30
Arithmetic,Beginner,What is 17 + 16?,1,33,272,34,33
Arithmetic,Beginner,What is 10 + 17?,28,-7,27,170,27
Arithmetic,Beginner,What is 10 + 8?,2,80,18,19,18
Arithmetic,Beginner,What is 2 + 8?,11,10,16,-6,10
Arithmetic,Beginner,What is 15 + 14?,29,1,210,30,29
Arithmetic,Beginner,What is 16 + 13?,3,208,29,30,29
Arithmetic,Beginner,What is 4 + 14?,56,-10,18,19,18
Arithmetic,Beginner,What is 2 + 18?,36,-16,20,21,20
Arithmetic,Beginner,What is 5 + 15?,20,-10,21,75,20
Arithmetic,Beginner,What is 18 + 15?,33,3,270,34,33
Arithmetic,Beginner,What is 15 + 9?,24,6,135,25,24
Arithmetic,Beginner,What is 17 + 16?,33,272,1,34,33
Arithmetic,Beginner,What is 3 + 10?,13,30,-7,14,13
Arithmetic,Beginner,What is 11 + 18?,30,198,-7,29,29
Arithmetic,Beginner,What is 8 + 13?,-5,21,104,22,21
Arithmetic,Beginner,What is 3 + 14?,17,42,18,-11,17
Arithmetic,Beginner,What is 14 + 2?,16,28,12,17,16
Arithmetic,Beginner,What is 19 + 1?,19,20,21,18,20
Arithmetic,Beginner,What is 12 + 10?,120,22,23,2,22
Arithmetic,Beginner,What is 16 + 8?,24,8,25,128,24
Arithmetic,Beginner,What is 1 + 13?,14,15,-12,13,14
Arithmetic,Beginner,What is 6 + 15?,-9,21,90,22,21
Arithmetic,Beginner,What is 13 + 19?,247,33,-6,32,32
Arithmetic,Beginner,What is 5 + 15?,75,-10,20,21,20
Arithmetic,Beginner,What is 13 + 11?,24,143,2,25,24
Arithmetic,Beginner,What is 11 + 13?,24,-2,25,143,24
Arithmetic,Beginner,What is 3 + 16?,20,-13,48,19,19
Arithmetic,Beginner,What is 12 + 8?,21,4,96,20,20
Arithmetic,Beginner,What is 1 + 8?,-7,8,9,10,9
Arithmetic,Beginner,What is 8 + 5?,14,13,40,3,13
